ID,Car MakeID,Car Make,Car ModelID,Car Model,YearID,Year,Mileage,Price,Fuel TypeID,Fuel Type,ColorID,Color,TransmissionID,Transmission,Options/FeaturesID,Options/Features,ConditionID,Condition,Accident,AccidentID
1,12,Hyundai,108,Tucson,0,2010,52554,44143.82,3,Hybrid,0,Black,0,Automatic,471,Heated Seats,2,Used,No,0
2,16,Land Rover,93,Range Rover,6,2016,115056,25414.06,0,Diesel,7,Silver,1,Manual,314,GPS,2,Used,No,0
3,11,Honda,13,Accord,12,2022,18044,28262.872,1,Electric,9,Yellow,1,Manual,238,"Bluetooth, Leather Seats, Backup Camera, GPS",0,Like New,Yes,1
4,14,Kia,101,Soul,1,2011,79251,28415.848,3,Hybrid,5,Orange,1,Manual,35,"Backup Camera, GPS, Heated Seats, Leather Seats",1,New,Yes,1
5,28,Volkswagen,57,Golf,12,2022,40975,31509.792,1,Electric,7,Silver,0,Automatic,758,"Leather Seats, Remote Start, Sunroof, Heated Seats",1,New,Yes,1
6,16,Land Rover,111,Velar,10,2020,97842,6594.72,2,Gasoline,4,Green,0,Automatic,152,"Backup Camera, Sunroof, Remote Start",0,Like New,Yes,1
7,18,Mazda,21,CX-9,4,2014,35192,23226.45,1,Electric,8,White,1,Manual,943,Sunroof,2,Used,No,0
8,1,Audi,89,Q5,6,2016,109975,22862.648,3,Hybrid,3,Gray,1,Manual,315,"GPS, Backup Camera",1,New,Yes,1
9,1,Audi,90,Q7,8,2018,55830,45766.52,1,Electric,7,Silver,0,Automatic,236,"Bluetooth, Leather Seats",1,New,No,0
10,5,Chevrolet,107,Traverse,2,2012,24753,10377.264,3,Hybrid,9,Yellow,1,Manual,770,"Leather Seats, Sunroof, GPS",2,Used,Yes,1
11,13,Jaguar,119,XJ,10,2020,84382,32667.872,2,Gasoline,7,Silver,0,Automatic,426,"GPS, Remote Start, Bluetooth, Backup Camera",0,Like New,Yes,1
12,2,BMW,0,3 Series,9,2019,137924,17841.368,2,Gasoline,9,Yellow,0,Automatic,445,"GPS, Sunroof",0,Like New,Yes,1
13,1,Audi,12,A6,11,2021,27106,22163.768,0,Diesel,6,Red,0,Automatic,119,"Backup Camera, Remote Start, Heated Seats, Leather Seats",2,Used,Yes,1
14,14,Kia,52,Forte,4,2014,106558,18715.696,1,Electric,2,Brown,0,Automatic,157,Bluetooth,2,Used,Yes,1
15,1,Audi,90,Q7,10,2020,106335,17786.61,0,Diesel,7,Silver,0,Automatic,231,"Bluetooth, Heated Seats, Sunroof",2,Used,No,0
16,11,Honda,48,Fit,11,2021,27208,15144.944,3,Hybrid,7,Silver,0,Automatic,3,"Backup Camera, Bluetooth, GPS, Heated Seats",2,Used,Yes,1
17,28,Volkswagen,57,Golf,3,2013,94583,38116.056,3,Hybrid,1,Blue,0,Automatic,157,Bluetooth,1,New,Yes,1
18,1,Audi,90,Q7,12,2022,146497,34064.312,2,Gasoline,7,Silver,0,Automatic,733,"Leather Seats, Remote Start",2,Used,Yes,1
19,9,Fiat,5,500X,11,2021,119733,5572.928,1,Electric,1,Blue,1,Manual,646,"Leather Seats, Backup Camera, Remote Start, Bluetooth",2,Used,Yes,1
20,13,Jaguar,118,XF,5,2015,120499,25775.6,1,Electric,4,Green,1,Manual,813,"Remote Start, Bluetooth",1,New,No,0
21,10,Ford,78,Mustang,5,2015,31893,29610.432,2,Gasoline,3,Gray,0,Automatic,102,"Backup Camera, Leather Seats, Sunroof, GPS",1,New,Yes,1
22,26,Tesla,77,Model Y,5,2015,11991,18936.288,3,Hybrid,5,Orange,1,Manual,157,Bluetooth,1,New,Yes,1
23,26,Tesla,74,Model 3,5,2015,30974,34210.344,1,Electric,8,White,0,Automatic,572,"Heated Seats, Leather Seats, Sunroof, Backup Camera",1,New,Yes,1
24,9,Fiat,4,500,1,2011,9981,13213.264,0,Diesel,5,Orange,1,Manual,184,"Bluetooth, GPS",1,New,Yes,1
25,10,Ford,42,Escape,6,2016,124829,6261.056,3,Hybrid,2,Brown,0,Automatic,288,"Bluetooth, Sunroof",2,Used,Yes,1
26,27,Toyota,92,RAV4,5,2015,68062,24543.896,0,Diesel,0,Black,1,Manual,931,"Remote Start, Sunroof, GPS, Heated Seats",1,New,Yes,1
27,14,Kia,52,Forte,11,2021,9257,16855.376,2,Gasoline,7,Silver,0,Automatic,687,"Leather Seats, GPS, Bluetooth",2,Used,Yes,1
28,6,Chevy,41,Equinox,10,2020,50898,33893.808,3,Hybrid,9,Yellow,0,Automatic,355,"GPS, Bluetooth, Leather Seats, Remote Start",1,New,Yes,1
29,20,Mercedes,18,C-Class,5,2015,86284,22553.808,3,Hybrid,3,Gray,0,Automatic,200,"Bluetooth, GPS, Remote Start",2,Used,Yes,1
30,22,Nissan,14,Altima,12,2022,101474,19730.248,3,Hybrid,9,Yellow,1,Manual,609,"Heated Seats, Sunroof, Bluetooth, Backup Camera",0,Like New,Yes,1
31,2,BMW,114,X3,1,2011,117881,25688.32,0,Diesel,5,Orange,1,Manual,157,Bluetooth,0,Like New,Yes,1
32,28,Volkswagen,85,Passat,7,2017,116703,9999.208,3,Hybrid,7,Silver,1,Manual,217,"Bluetooth, Heated Seats, GPS, Backup Camera",1,New,Yes,1
33,18,Mazda,20,CX-5,8,2018,46939,38300.416,0,Diesel,2,Brown,1,Manual,628,Leather Seats,1,New,Yes,1
34,14,Kia,52,Forte,6,2016,13489,32229.27,3,Hybrid,7,Silver,1,Manual,1,"Backup Camera, Bluetooth",0,Like New,No,0
35,18,Mazda,20,CX-5,10,2020,78056,12986.016,2,Gasoline,6,Red,0,Automatic,157,Bluetooth,0,Like New,Yes,1
36,22,Nissan,97,Sentra,3,2013,79862,28983.304,3,Hybrid,1,Blue,0,Automatic,731,"Leather Seats, Heated Seats, Sunroof, GPS",1,New,Yes,1
37,12,Hyundai,108,Tucson,11,2021,22023,23799.896,1,Electric,3,Gray,0,Automatic,85,"Backup Camera, Leather Seats, GPS",2,Used,Yes,1
38,20,Mercedes,39,E-Class,3,2013,134504,4946.224,1,Electric,9,Yellow,0,Automatic,157,Bluetooth,2,Used,Yes,1
39,18,Mazda,21,CX-9,8,2018,112687,39612.4,2,Gasoline,8,White,1,Manual,1024,"Sunroof, Heated Seats, Backup Camera, Bluetooth",2,Used,No,0
40,11,Honda,48,Fit,10,2020,52700,31640.136,0,Diesel,4,Green,0,Automatic,739,"Leather Seats, Remote Start, Bluetooth",1,New,Yes,1
41,26,Tesla,76,Model X,8,2018,79461,34453.616,1,Electric,1,Blue,1,Manual,0,Backup Camera,1,New,Yes,1
42,5,Chevrolet,107,Traverse,9,2019,45421,10163.224,1,Electric,2,Brown,0,Automatic,471,Heated Seats,1,New,Yes,1
43,7,Chrysler,1,300,10,2020,60262,31610.528,3,Hybrid,2,Brown,0,Automatic,1069,"Sunroof, Leather Seats, Remote Start",0,Like New,Yes,1
44,28,Volkswagen,105,Tiguan,1,2011,20705,9690.896,3,Hybrid,9,Yellow,1,Manual,210,"Bluetooth, Heated Seats",1,New,Yes,1
45,12,Hyundai,108,Tucson,6,2016,39279,31383.936,2,Gasoline,7,Silver,0,Automatic,1064,"Sunroof, Leather Seats, Heated Seats",0,Like New,Yes,1
46,1,Audi,11,A4,4,2014,105702,35109.896,3,Hybrid,1,Blue,0,Automatic,891,"Remote Start, Leather Seats",0,Like New,Yes,1
47,13,Jaguar,60,I-Pace,7,2017,135746,35646.72,3,Hybrid,6,Red,0,Automatic,629,"Leather Seats, Backup Camera",0,Like New,Yes,1
48,14,Kia,79,Optima,0,2010,78755,21816.192,3,Hybrid,3,Gray,0,Automatic,210,"Bluetooth, Heated Seats",1,New,Yes,1
49,14,Kia,101,Soul,5,2015,16860,18420.936,0,Diesel,7,Silver,1,Manual,789,"Remote Start, Backup Camera, Bluetooth, GPS",1,New,Yes,1
50,11,Honda,27,Civic,6,2016,102831,32616.304,1,Electric,5,Orange,1,Manual,36,"Backup Camera, GPS, Heated Seats, Remote Start",1,New,Yes,1
51,11,Honda,19,CR-V,12,2022,129189,22695.976,0,Diesel,2,Brown,0,Automatic,944,"Sunroof, Backup Camera",0,Like New,Yes,1
52,28,Volkswagen,16,Beetle,5,2015,137989,33818.416,3,Hybrid,2,Brown,1,Manual,216,"Bluetooth, Heated Seats, GPS",0,Like New,Yes,1
53,25,Subaru,65,Legacy,4,2014,11985,25488.744,1,Electric,2,Brown,0,Automatic,644,"Leather Seats, Backup Camera, Heated Seats, Sunroof",2,Used,Yes,1
54,11,Honda,13,Accord,0,2010,33808,10868.232,3,Hybrid,7,Silver,1,Manual,944,"Sunroof, Backup Camera",1,New,Yes,1
55,9,Fiat,37,Doblo,11,2021,21326,36759.89,0,Diesel,5,Orange,1,Manual,261,"Bluetooth, Leather Seats, Sunroof, Remote Start",2,Used,No,0
56,6,Chevy,41,Equinox,10,2020,74300,25962.76,0,Diesel,1,Blue,1,Manual,262,"Bluetooth, Remote Start",2,Used,Yes,1
57,20,Mercedes,9,A-Class,5,2015,130777,16556.912,1,Electric,3,Gray,0,Automatic,832,"Remote Start, Bluetooth, Leather Seats, Heated Seats",2,Used,Yes,1
58,10,Ford,50,Focus,11,2021,25717,20586.36,3,Hybrid,3,Gray,1,Manual,54,"Backup Camera, Heated Seats, Bluetooth",1,New,No,0
59,11,Honda,27,Civic,9,2019,67726,12728.488,0,Diesel,1,Blue,0,Automatic,613,"Heated Seats, Sunroof, GPS",1,New,Yes,1
60,11,Honda,27,Civic,8,2018,46403,18648.672,3,Hybrid,9,Yellow,0,Automatic,540,"Heated Seats, GPS, Remote Start",0,Like New,Yes,1
61,7,Chrysler,25,Charger,8,2018,14777,36876.272,0,Diesel,4,Green,0,Automatic,715,"Leather Seats, Heated Seats, Bluetooth, GPS",1,New,Yes,1
62,27,Toyota,58,Highlander,9,2019,33128,46780.47,1,Electric,3,Gray,1,Manual,787,"Remote Start, Backup Camera",2,Used,No,0
63,23,Porsche,68,Macan,3,2013,34529,15904.624,3,Hybrid,3,Gray,0,Automatic,64,"Backup Camera, Heated Seats, Leather Seats",1,New,Yes,1
64,5,Chevrolet,107,Traverse,10,2020,111296,33771.632,1,Electric,0,Black,1,Manual,759,"Leather Seats, Sunroof",2,Used,Yes,1
65,12,Hyundai,99,Sonata,0,2010,73363,17808.68,3,Hybrid,3,Gray,1,Manual,509,"Heated Seats, Bluetooth, Leather Seats",0,Like New,Yes,1
66,10,Ford,45,F-150,7,2017,85427,9749.808,1,Electric,0,Black,1,Manual,759,"Leather Seats, Sunroof",0,Like New,Yes,1
67,11,Honda,87,Pilot,11,2021,102943,18970.44,3,Hybrid,5,Orange,0,Automatic,55,"Backup Camera, Heated Seats, Bluetooth, GPS",1,New,Yes,1
68,7,Chrysler,82,Pacifica,0,2010,148562,36503.976,0,Diesel,2,Brown,0,Automatic,382,"GPS, Heated Seats, Leather Seats, Sunroof",1,New,Yes,1
69,2,BMW,116,X7,7,2017,19584,20323.56,3,Hybrid,9,Yellow,0,Automatic,545,"Heated Seats, GPS, Sunroof",2,Used,Yes,1
70,22,Nissan,14,Altima,11,2021,62121,24819.208,2,Gasoline,4,Green,1,Manual,314,GPS,2,Used,Yes,1
71,13,Jaguar,117,XE,4,2014,112182,13099.16,0,Diesel,4,Green,1,Manual,1000,"Sunroof, GPS, Backup Camera, Leather Seats",0,Like New,No,0
72,14,Kia,79,Optima,2,2012,145839,18150.112,0,Diesel,1,Blue,0,Automatic,581,"Heated Seats, Remote Start, Backup Camera, Sunroof",1,New,Yes,1
73,6,Chevy,69,Malibu,3,2013,69883,20582.512,0,Diesel,3,Gray,0,Automatic,786,Remote Start,2,Used,Yes,1
74,25,Subaru,65,Legacy,12,2022,9101,12663.984,2,Gasoline,0,Black,0,Automatic,524,"Heated Seats, GPS",0,Like New,Yes,1
75,18,Mazda,21,CX-9,3,2013,146494,11821.688,2,Gasoline,8,White,1,Manual,671,"Leather Seats, Bluetooth, Remote Start",1,New,Yes,1
76,16,Land Rover,93,Range Rover,6,2016,83774,13905.544,0,Diesel,4,Green,1,Manual,792,"Remote Start, Backup Camera, Bluetooth, Sunroof",1,New,Yes,1
77,25,Subaru,51,Forester,4,2014,103686,10619.64,3,Hybrid,1,Blue,0,Automatic,338,"GPS, Backup Camera, Sunroof, Heated Seats",0,Like New,Yes,1
78,6,Chevy,107,Traverse,2,2012,106821,12742.904,0,Diesel,7,Silver,0,Automatic,0,Backup Camera,0,Like New,Yes,1
79,20,Mercedes,18,C-Class,4,2014,103872,28252.192,2,Gasoline,0,Black,0,Automatic,668,"Leather Seats, Bluetooth, Heated Seats, GPS",2,Used,Yes,1
80,20,Mercedes,39,E-Class,11,2021,35753,30887.656,3,Hybrid,1,Blue,0,Automatic,834,"Remote Start, Bluetooth, Sunroof",0,Like New,Yes,1
81,23,Porsche,104,Taycan,10,2020,99177,15103.2,1,Electric,5,Orange,1,Manual,832,"Remote Start, Bluetooth, Leather Seats, Heated Seats",0,Like New,Yes,1
82,12,Hyundai,96,Santa Fe,0,2010,63005,30685.088,2,Gasoline,3,Gray,1,Manual,236,"Bluetooth, Leather Seats",0,Like New,Yes,1
83,18,Mazda,67,MX-5 Miata,3,2013,135888,23823.128,1,Electric,3,Gray,1,Manual,716,"Leather Seats, Heated Seats, Bluetooth, Remote Start",2,Used,Yes,1
84,11,Honda,48,Fit,7,2017,53247,37008.376,2,Gasoline,5,Orange,0,Automatic,943,Sunroof,1,New,Yes,1
85,11,Honda,13,Accord,1,2011,44591,4329.096,3,Hybrid,7,Silver,0,Automatic,424,"GPS, Remote Start, Backup Camera, Sunroof",2,Used,Yes,1
86,27,Toyota,23,Camry,8,2018,77021,23286.568,1,Electric,6,Red,1,Manual,0,Backup Camera,1,New,Yes,1
87,11,Honda,13,Accord,3,2013,143007,13087.056,1,Electric,3,Gray,1,Manual,963,"Sunroof, Backup Camera, Leather Seats, Heated Seats",1,New,Yes,1
88,28,Volkswagen,62,Jetta,10,2020,13305,7366.016,3,Hybrid,4,Green,1,Manual,445,"GPS, Sunroof",1,New,Yes,1
89,25,Subaru,61,Impreza,9,2019,29998,36212.48,2,Gasoline,1,Blue,0,Automatic,425,"GPS, Remote Start, Bluetooth",2,Used,Yes,1
90,6,Chevy,107,Traverse,10,2020,13625,10456.76,1,Electric,6,Red,0,Automatic,353,"GPS, Bluetooth, Leather Seats, Backup Camera",2,Used,Yes,1
91,7,Chrysler,113,Voyager,10,2020,146705,15942.272,0,Diesel,0,Black,1,Manual,691,"Leather Seats, GPS, Bluetooth, Sunroof",1,New,Yes,1
92,12,Hyundai,40,Elantra,10,2020,76651,32207.736,3,Hybrid,9,Yellow,0,Automatic,712,"Leather Seats, Heated Seats, Backup Camera, Sunroof",0,Like New,Yes,1
93,2,BMW,116,X7,4,2014,69605,29671.904,2,Gasoline,3,Gray,0,Automatic,269,"Bluetooth, Remote Start, GPS, Backup Camera",0,Like New,Yes,1
94,27,Toyota,58,Highlander,7,2017,99350,31408.472,2,Gasoline,8,White,0,Automatic,120,"Backup Camera, Remote Start, Heated Seats, Sunroof",1,New,Yes,1
95,1,Audi,11,A4,1,2011,97776,23951.912,1,Electric,4,Green,0,Automatic,843,"Remote Start, GPS, Backup Camera, Leather Seats",0,Like New,Yes,1
96,7,Chrysler,38,Dodge Durango,2,2012,104806,10102.064,1,Electric,3,Gray,1,Manual,628,Leather Seats,0,Like New,Yes,1
97,25,Subaru,61,Impreza,6,2016,83578,21432.328,2,Gasoline,7,Silver,1,Manual,996,"Sunroof, GPS",1,New,Yes,1
98,11,Honda,19,CR-V,0,2010,108728,15959.816,3,Hybrid,7,Silver,1,Manual,262,"Bluetooth, Remote Start",0,Like New,Yes,1
99,9,Fiat,5,500X,7,2017,87361,10394.944,3,Hybrid,7,Silver,1,Manual,288,"Bluetooth, Sunroof",2,Used,Yes,1
100,22,Nissan,97,Sentra,5,2015,34855,37554.416,0,Diesel,2,Brown,0,Automatic,573,"Heated Seats, Leather Seats, Sunroof, Bluetooth",2,Used,Yes,1
101,2,BMW,114,X3,10,2020,135889,9010.448,1,Electric,1,Blue,1,Manual,931,"Remote Start, Sunroof, GPS, Heated Seats",2,Used,Yes,1
102,9,Fiat,37,Doblo,9,2019,110068,23237.224,3,Hybrid,5,Orange,0,Automatic,786,Remote Start,0,Like New,Yes,1
103,26,Tesla,76,Model X,2,2012,16612,24275.928,3,Hybrid,7,Silver,1,Manual,157,Bluetooth,1,New,Yes,1
104,26,Tesla,75,Model S,7,2017,103073,18080.832,0,Diesel,7,Silver,0,Automatic,1007,"Sunroof, GPS, Heated Seats",0,Like New,Yes,1
105,11,Honda,19,CR-V,4,2014,94932,20391.976,0,Diesel,5,Orange,1,Manual,943,Sunroof,0,Like New,Yes,1
106,23,Porsche,68,Macan,1,2011,83712,5608.592,2,Gasoline,6,Red,1,Manual,550,"Heated Seats, Leather Seats",2,Used,Yes,1
107,16,Land Rover,93,Range Rover,8,2018,46978,15915.624,3,Hybrid,9,Yellow,0,Automatic,576,"Heated Seats, Remote Start",0,Like New,Yes,1
108,25,Subaru,30,Crosstrek,0,2010,56727,20184.704,3,Hybrid,4,Green,0,Automatic,210,"Bluetooth, Heated Seats",2,Used,Yes,1
109,2,BMW,116,X7,1,2011,145742,10730.552,1,Electric,1,Blue,1,Manual,58,"Backup Camera, Heated Seats, Bluetooth, Sunroof",1,New,Yes,1
110,9,Fiat,37,Doblo,9,2019,34945,16525.288,3,Hybrid,2,Brown,0,Automatic,471,Heated Seats,2,Used,Yes,1
111,11,Honda,19,CR-V,1,2011,67540,14993.68,0,Diesel,7,Silver,0,Automatic,99,"Backup Camera, Leather Seats, Remote Start, Sunroof",2,Used,Yes,1
112,25,Subaru,51,Forester,7,2017,145870,28963.584,0,Diesel,5,Orange,0,Automatic,655,"Leather Seats, Bluetooth",0,Like New,Yes,1
113,23,Porsche,104,Taycan,0,2010,99119,38266.312,3,Hybrid,8,White,0,Automatic,624,"Heated Seats, Sunroof, Remote Start, Backup Camera",0,Like New,Yes,1
114,13,Jaguar,118,XF,1,2011,13089,32651.712,0,Diesel,3,Gray,0,Automatic,760,"Leather Seats, Sunroof, Backup Camera",0,Like New,Yes,1
115,13,Jaguar,60,I-Pace,8,2018,34677,24617.704,1,Electric,5,Orange,1,Manual,102,"Backup Camera, Leather Seats, Sunroof, GPS",2,Used,Yes,1
116,26,Tesla,76,Model X,0,2010,122894,13461.352,2,Gasoline,9,Yellow,0,Automatic,866,"Remote Start, Heated Seats, Backup Camera",1,New,Yes,1
117,25,Subaru,51,Forester,9,2019,41499,32254.576,0,Diesel,6,Red,1,Manual,210,"Bluetooth, Heated Seats",2,Used,Yes,1
118,28,Volkswagen,85,Passat,9,2019,75082,38286.304,2,Gasoline,8,White,1,Manual,550,"Heated Seats, Leather Seats",1,New,Yes,1
119,26,Tesla,75,Model S,11,2021,89435,33825.344,3,Hybrid,9,Yellow,0,Automatic,1086,"Sunroof, Remote Start, GPS, Backup Camera",2,Used,Yes,1
120,18,Mazda,67,MX-5 Miata,11,2021,77935,29009.328,1,Electric,9,Yellow,1,Manual,471,Heated Seats,0,Like New,Yes,1
121,23,Porsche,68,Macan,1,2011,145096,18317.768,3,Hybrid,1,Blue,1,Manual,164,"Bluetooth, Backup Camera, Heated Seats",0,Like New,Yes,1
122,11,Honda,48,Fit,7,2017,95109,36189.568,2,Gasoline,6,Red,0,Automatic,314,GPS,2,Used,Yes,1
123,5,Chevrolet,31,Cruze,7,2017,5177,39706.176,3,Hybrid,1,Blue,0,Automatic,813,"Remote Start, Bluetooth",2,Used,Yes,1
124,2,BMW,3,5 Series,4,2014,26606,17386.376,0,Diesel,6,Red,1,Manual,1022,"Sunroof, Heated Seats",2,Used,Yes,1
125,2,BMW,0,3 Series,0,2010,60947,21165.04,0,Diesel,2,Brown,0,Automatic,314,GPS,2,Used,Yes,1
126,12,Hyundai,40,Elantra,6,2016,39648,21197.208,0,Diesel,4,Green,0,Automatic,157,Bluetooth,2,Used,Yes,1
127,14,Kia,52,Forte,2,2012,105328,31844.576,0,Diesel,8,White,0,Automatic,970,"Sunroof, Bluetooth",2,Used,Yes,1
128,20,Mercedes,39,E-Class,6,2016,120968,34958.648,2,Gasoline,0,Black,0,Automatic,986,"Sunroof, Bluetooth, Leather Seats",1,New,Yes,1
129,26,Tesla,76,Model X,10,2020,27085,12934.016,1,Electric,6,Red,1,Manual,218,"Bluetooth, Heated Seats, GPS, Leather Seats",1,New,Yes,1
130,13,Jaguar,119,XJ,1,2011,68198,21984.968,2,Gasoline,5,Orange,0,Automatic,944,"Sunroof, Backup Camera",0,Like New,Yes,1
131,25,Subaru,61,Impreza,8,2018,50290,31458.136,2,Gasoline,6,Red,0,Automatic,419,"GPS, Remote Start",1,New,Yes,1
132,18,Mazda,67,MX-5 Miata,4,2014,136346,31615.96,3,Hybrid,4,Green,0,Automatic,357,"GPS, Bluetooth, Remote Start",2,Used,Yes,1
133,16,Land Rover,93,Range Rover,12,2022,45731,23310.048,3,Hybrid,2,Brown,0,Automatic,393,"GPS, Leather Seats",0,Like New,Yes,1
134,2,BMW,114,X3,1,2011,123848,26042.688,2,Gasoline,3,Gray,0,Automatic,524,"Heated Seats, GPS",1,New,Yes,1
135,5,Chevrolet,31,Cruze,5,2015,142102,22620.024,1,Electric,8,White,1,Manual,786,Remote Start,1,New,Yes,1
