ID,Car MakeID,Car ModelID,YearID,Mileage,Price,Fuel TypeID,ColorID,TransmissionID,Options/FeaturesID,ConditionID,AccidentID
1,12,108,0,52554,44143.82,3,0,0,471,2,0
2,16,93,6,115056,25414.06,0,7,1,314,2,0
3,11,13,12,18044,28262.87,1,9,1,238,0,1
4,14,101,1,79251,28415.85,3,5,1,35,1,1
5,28,57,12,40975,31509.79,1,7,0,758,1,1
6,16,111,10,97842,6594.72,2,4,0,152,0,1
7,18,21,4,35192,23226.45,1,8,1,943,2,0
8,1,89,6,109975,22862.65,3,3,1,315,1,1
9,1,90,8,55830,45766.52,1,7,0,236,1,0
10,5,107,2,24753,10377.26,3,9,1,770,2,1
11,13,119,10,84382,32667.87,2,7,0,426,0,1
12,2,0,9,137924,17841.37,2,9,0,445,0,1
13,1,12,11,27106,22163.77,0,6,0,119,2,1
14,14,52,4,106558,18715.70,1,2,0,157,2,1
15,1,90,10,106335,17786.61,0,7,0,231,2,0
16,11,48,11,27208,15144.94,3,7,0,3,2,1
17,28,57,3,94583,38116.06,3,1,0,157,1,1
18,1,90,12,146497,34064.31,2,7,0,733,2,1
19,9,5,11,119733,5572.93,1,1,1,646,2,1
20,13,118,5,120499,25775.60,1,4,1,813,1,0
21,10,78,5,31893,29610.43,2,3,0,102,1,1
22,26,77,5,11991,18936.29,3,5,1,157,1,1
23,26,74,5,30974,34210.34,1,8,0,572,1,1
24,9,4,1,9981,13213.26,0,5,1,184,1,1
25,10,42,6,124829,6261.06,3,2,0,288,2,1
26,27,92,5,68062,24543.90,0,0,1,931,1,1
27,14,52,11,9257,16855.38,2,7,0,687,2,1
28,6,41,10,50898,33893.81,3,9,0,355,1,1
29,20,18,5,86284,22553.81,3,3,0,200,2,1
30,22,14,12,101474,19730.25,3,9,1,609,0,1
31,2,114,1,117881,25688.32,0,5,1,157,0,1
32,28,85,7,116703,9999.21,3,7,1,217,1,1
33,18,20,8,46939,38300.42,0,2,1,628,1,1
34,14,52,6,13489,32229.27,3,7,1,1,0,0
35,18,20,10,78056,12986.02,2,6,0,157,0,1
36,22,97,3,79862,28983.30,3,1,0,731,1,1
37,12,108,11,22023,23799.90,1,3,0,85,2,1
38,20,39,3,134504,4946.22,1,9,0,157,2,1
39,18,21,8,112687,39612.40,2,8,1,1024,2,0
40,11,48,10,52700,31640.14,0,4,0,739,1,1
41,26,76,8,79461,34453.62,1,1,1,0,1,1
42,5,107,9,45421,10163.22,1,2,0,471,1,1
43,7,1,10,60262,31610.53,3,2,0,1069,0,1
44,28,105,1,20705,9690.90,3,9,1,210,1,1
45,12,108,6,39279,31383.94,2,7,0,1064,0,1
46,1,11,4,105702,35109.90,3,1,0,891,0,1
47,13,60,7,135746,35646.72,3,6,0,629,0,1
48,14,79,0,78755,21816.19,3,3,0,210,1,1
49,14,101,5,16860,18420.94,0,7,1,789,1,1
50,11,27,6,102831,32616.30,1,5,1,36,1,1
51,11,19,12,129189,22695.98,0,2,0,944,0,1
52,28,16,5,137989,33818.42,3,2,1,216,0,1
53,25,65,4,11985,25488.74,1,2,0,644,2,1
54,11,13,0,33808,10868.23,3,7,1,944,1,1
55,9,37,11,21326,36759.89,0,5,1,261,2,0
56,6,41,10,74300,25962.76,0,1,1,262,2,1
57,20,9,5,130777,16556.91,1,3,0,832,2,1
58,10,50,11,25717,20586.36,3,3,1,54,1,0
59,11,27,9,67726,12728.49,0,1,0,613,1,1
60,11,27,8,46403,18648.67,3,9,0,540,0,1
61,7,25,8,14777,36876.27,0,4,0,715,1,1
62,27,58,9,33128,46780.47,1,3,1,787,2,0
63,23,68,3,34529,15904.62,3,3,0,64,1,1
64,5,107,10,111296,33771.63,1,0,1,759,2,1
65,12,99,0,73363,17808.68,3,3,1,509,0,1
66,10,45,7,85427,9749.81,1,0,1,759,0,1
67,11,87,11,102943,18970.44,3,5,0,55,1,1
68,7,82,0,148562,36503.98,0,2,0,382,1,1
69,2,116,7,19584,20323.56,3,9,0,545,2,1
70,22,14,11,62121,24819.21,2,4,1,314,2,1
71,13,117,4,112182,13099.16,0,4,1,1000,0,0
72,14,79,2,145839,18150.11,0,1,0,581,1,1
73,6,69,3,69883,20582.51,0,3,0,786,2,1
74,25,65,12,9101,12663.98,2,0,0,524,0,1
75,18,21,3,146494,11821.69,2,8,1,671,1,1
76,16,93,6,83774,13905.54,0,4,1,792,1,1
77,25,51,4,103686,10619.64,3,1,0,338,0,1
78,6,107,2,106821,12742.90,0,7,0,0,0,1
79,20,18,4,103872,28252.19,2,0,0,668,2,1
80,20,39,11,35753,30887.66,3,1,0,834,0,1
81,23,104,10,99177,15103.20,1,5,1,832,0,1
82,12,96,0,63005,30685.09,2,3,1,236,0,1
83,18,67,3,135888,23823.13,1,3,1,716,2,1
84,11,48,7,53247,37008.38,2,5,0,943,1,1
85,11,13,1,44591,4329.10,3,7,0,424,2,1
86,27,23,8,77021,23286.57,1,6,1,0,1,1
87,11,13,3,143007,13087.06,1,3,1,963,1,1
88,28,62,10,13305,7366.02,3,4,1,445,1,1
89,25,61,9,29998,36212.48,2,1,0,425,2,1
90,6,107,10,13625,10456.76,1,6,0,353,2,1
91,7,113,10,146705,15942.27,0,0,1,691,1,1
92,12,40,10,76651,32207.74,3,9,0,712,0,1
93,2,116,4,69605,29671.90,2,3,0,269,0,1
94,27,58,7,99350,31408.47,2,8,0,120,1,1
95,1,11,1,97776,23951.91,1,4,0,843,0,1
96,7,38,2,104806,10102.06,1,3,1,628,0,1
97,25,61,6,83578,21432.33,2,7,1,996,1,1
98,11,19,0,108728,15959.82,3,7,1,262,0,1
99,9,5,7,87361,10394.94,3,7,1,288,2,1
100,22,97,5,34855,37554.42,0,2,0,573,2,1
101,2,114,10,135889,9010.45,1,1,1,931,2,1
102,9,37,9,110068,23237.22,3,5,0,786,0,1
103,26,76,2,16612,24275.93,3,7,1,157,1,1
104,26,75,7,103073,18080.83,0,7,0,1007,0,1
105,11,19,4,94932,20391.98,0,5,1,943,0,1
106,23,68,1,83712,5608.59,2,6,1,550,2,1
107,16,93,8,46978,15915.62,3,9,0,576,0,1
108,25,30,0,56727,20184.70,3,4,0,210,2,1
109,2,116,1,145742,10730.55,1,1,1,58,1,1
110,9,37,9,34945,16525.29,3,2,0,471,2,1
111,11,19,1,67540,14993.68,0,7,0,99,2,1
112,25,51,7,145870,28963.58,0,5,0,655,0,1
113,23,104,0,99119,38266.31,3,8,0,624,0,1
114,13,118,1,13089,32651.71,0,3,0,760,0,1
115,13,60,8,34677,24617.70,1,5,1,102,2,1
116,26,76,0,122894,13461.35,2,9,0,866,1,1
117,25,51,9,41499,32254.58,0,6,1,210,2,1
118,28,85,9,75082,38286.30,2,8,1,550,1,1
119,26,75,11,89435,33825.34,3,9,0,1086,2,1
120,18,67,11,77935,29009.33,1,9,1,471,0,1
121,23,68,1,145096,18317.77,3,1,1,164,0,1
122,11,48,7,95109,36189.57,2,6,0,314,2,1
123,5,31,7,5177,39706.18,3,1,0,813,2,1
124,2,3,4,26606,17386.38,0,6,1,1022,2,1
125,2,0,0,60947,21165.04,0,2,0,314,2,1
126,12,40,6,39648,21197.21,0,4,0,157,2,1
127,14,52,2,105328,31844.58,0,8,0,970,2,1
128,20,39,6,120968,34958.65,2,0,0,986,1,1
129,26,76,10,27085,12934.02,1,6,1,218,1,1
130,13,119,1,68198,21984.97,2,5,0,944,0,1
131,25,61,8,50290,31458.14,2,6,0,419,1,1
132,18,67,4,136346,31615.96,3,4,0,357,2,1
133,16,93,12,45731,23310.05,3,2,0,393,0,1
134,2,114,1,123848,26042.69,2,3,0,524,1,1
135,5,31,5,142102,22620.02,1,8,1,786,1,1
136,27,58,12,117544,13791.30,2,3,0,446,0,1
